State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andaman-&-nicobar-islands,district,nicobars,TOTAL,3,565.0,2020,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,3,795.0,2020,2
andaman-&-nicobar-islands,pincode,744101,TOTAL,1,282.0,2020,2
andaman-&-nicobar-islands,pincode,744104,TOTAL,2,513.0,2020,2
andaman-&-nicobar-islands,pincode,744301,TOTAL,3,565.0,2020,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,5,1448.0,2020,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,1,281.0,2020,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,35,13651.0,2020,3
andaman-&-nicobar-islands,pincode,744101,TOTAL,5,2194.0,2020,3
andaman-&-nicobar-islands,pincode,744102,TOTAL,2,314.0,2020,3
andaman-&-nicobar-islands,pincode,744103,TOTAL,3,947.0,2020,3
andaman-&-nicobar-islands,pincode,744105,TOTAL,7,3948.0,2020,3
andaman-&-nicobar-islands,pincode,744107,TOTAL,3,1095.0,2020,3
andaman-&-nicobar-islands,pincode,744112,TOTAL,9,3432.0,2020,3
andaman-&-nicobar-islands,pincode,744206,TOTAL,4,1620.0,2020,3
andaman-&-nicobar-islands,pincode,744211,TOTAL,2,101.0,2020,3
andaman-&-nicobar-islands,pincode,744301,TOTAL,2,886.0,2020,3
andaman-&-nicobar-islands,pincode,744302,TOTAL,3,562.0,2020,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,2,2747.0,2020,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,13,17734.0,2020,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,109,137494.0,2020,4
andaman-&-nicobar-islands,pincode,744101,TOTAL,23,29686.0,2020,4
andaman-&-nicobar-islands,pincode,744102,TOTAL,17,25073.0,2020,4
andaman-&-nicobar-islands,pincode,744103,TOTAL,18,24904.0,2020,4
andaman-&-nicobar-islands,pincode,744104,TOTAL,4,10271.0,2020,4
