State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andaman-&-nicobar-islands,district,nicobars,TOTAL,3,565.0,2020,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,3,795.0,2020,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,5,1448.0,2020,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,1,281.0,2020,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,35,13651.0,2020,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,2,2747.0,2020,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,13,17734.0,2020,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,109,137494.0,2020,4
andaman-&-nicobar-islands,district,nicobars,TOTAL,13,13244.0,2021,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,48,63978.0,2021,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,164,167044.0,2021,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,4,15089.0,2021,2
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,28,45311.0,2021,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,105,121104.0,2021,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,15,30539.0,2021,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,33,50997.0,2021,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,182,223699.0,2021,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,44,73561.0,2021,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,81,182061.0,2021,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,632,800758.0,2021,4
andaman-&-nicobar-islands,district,nicobars,TOTAL,28,63852.0,2022,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,48,85229.0,2022,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,692,982206.0,2022,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,26,56308.0,2022,2
