State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andaman-&-nicobar-islands,pincode,744101,TOTAL,1,282.0,2020,2
andaman-&-nicobar-islands,pincode,744104,TOTAL,2,513.0,2020,2
andaman-&-nicobar-islands,pincode,744301,TOTAL,3,565.0,2020,2
andaman-&-nicobar-islands,pincode,744101,TOTAL,5,2194.0,2020,3
andaman-&-nicobar-islands,pincode,744102,TOTAL,2,314.0,2020,3
andaman-&-nicobar-islands,pincode,744103,TOTAL,3,947.0,2020,3
andaman-&-nicobar-islands,pincode,744105,TOTAL,7,3948.0,2020,3
andaman-&-nicobar-islands,pincode,744107,TOTAL,3,1095.0,2020,3
andaman-&-nicobar-islands,pincode,744112,TOTAL,9,3432.0,2020,3
andaman-&-nicobar-islands,pincode,744206,TOTAL,4,1620.0,2020,3
andaman-&-nicobar-islands,pincode,744211,TOTAL,2,101.0,2020,3
andaman-&-nicobar-islands,pincode,744301,TOTAL,2,886.0,2020,3
andaman-&-nicobar-islands,pincode,744302,TOTAL,3,562.0,2020,3
andaman-&-nicobar-islands,pincode,744101,TOTAL,23,29686.0,2020,4
andaman-&-nicobar-islands,pincode,744102,TOTAL,17,25073.0,2020,4
andaman-&-nicobar-islands,pincode,744103,TOTAL,18,24904.0,2020,4
andaman-&-nicobar-islands,pincode,744104,TOTAL,4,10271.0,2020,4
andaman-&-nicobar-islands,pincode,744105,TOTAL,25,25659.0,2020,4
andaman-&-nicobar-islands,pincode,744106,TOTAL,6,4840.0,2020,4
andaman-&-nicobar-islands,pincode,744112,TOTAL,8,10459.0,2020,4
andaman-&-nicobar-islands,pincode,744204,TOTAL,6,11659.0,2020,4
andaman-&-nicobar-islands,pincode,744205,TOTAL,3,5235.0,2020,4
andaman-&-nicobar-islands,pincode,744206,TOTAL,3,100.0,2020,4
andaman-&-nicobar-islands,pincode,744101,TOTAL,33,24571.0,2021,1
andaman-&-nicobar-islands,pincode,744102,TOTAL,12,14085.0,2021,1
andaman-&-nicobar-islands,pincode,744103,TOTAL,35,39985.0,2021,1
andaman-&-nicobar-islands,pincode,744104,TOTAL,9,7310.0,2021,1
andaman-&-nicobar-islands,pincode,744105,TOTAL,47,53060.0,2021,1
andaman-&-nicobar-islands,pincode,744107,TOTAL,8,9253.0,2021,1
andaman-&-nicobar-islands,pincode,744202,TOTAL,12,17588.0,2021,1
andaman-&-nicobar-islands,pincode,744204,TOTAL,25,29635.0,2021,1
andaman-&-nicobar-islands,pincode,744205,TOTAL,7,11223.0,2021,1
andaman-&-nicobar-islands,pincode,744301,TOTAL,7,6612.0,2021,1
andaman-&-nicobar-islands,pincode,744101,TOTAL,17,19787.0,2021,2
andaman-&-nicobar-islands,pincode,744102,TOTAL,13,10326.0,2021,2
andaman-&-nicobar-islands,pincode,744103,TOTAL,36,33716.0,2021,2
andaman-&-nicobar-islands,pincode,744104,TOTAL,6,8889.0,2021,2
andaman-&-nicobar-islands,pincode,744105,TOTAL,15,17163.0,2021,2
