State,Entity_Level,Entity,Metric_type,Count,Amount,Year,Quarter
andaman-&-nicobar-islands,district,nicobars,TOTAL,528,1139848.801225994,2018,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,442,931663.0770939871,2018,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,5688,12560249.343665812,2018,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,1120,3072436.9081196385,2018,2
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,825,1317863.0834906558,2018,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,9395,23948235.51634325,2018,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,1471,6387829.151558982,2018,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,1283,4901529.518499676,2018,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,13511,44268112.46425246,2018,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,1485,7180859.354911782,2018,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,2137,7955635.917688001,2018,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,20136,75411840.8018554,2018,4
andaman-&-nicobar-islands,district,nicobars,TOTAL,1539,7236059.549389593,2019,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,3264,9561708.736298349,2019,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,25683,85501972.38780196,2019,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,1828,9111650.82436246,2019,2
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,3371,8612103.13788812,2019,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,28490,102530955.71341258,2019,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,2300,11566421.475451011,2019,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,4049,11481466.283356791,2019,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,27421,91023888.32848611,2019,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,2600,12384161.52668771,2019,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,4716,13524056.784573946,2019,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,27843,110930312.20611624,2019,4
andaman-&-nicobar-islands,district,nicobars,TOTAL,2911,12099543.773590053,2020,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,5674,14697371.617857102,2020,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,32713,134679396.90582758,2020,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,3895,14341508.60470232,2020,2
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,10979,22447714.061058957,2020,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,48088,132855778.74838585,2020,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,5413,22166453.754695386,2020,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,16747,33486883.37042556,2020,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,95323,282366109.20523936,2020,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,8688,35218871.04342848,2020,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,29349,68941322.38839513,2020,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,186494,523122462.883029,2020,4
andaman-&-nicobar-islands,district,nicobars,TOTAL,10302,39075266.9856904,2021,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,27358,75027255.27919498,2021,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,207092,669604045.1248703,2021,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,15307,48020606.74716838,2021,2
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,39200,90233388.79463305,2021,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,286907,760893020.5704947,2021,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,20754,74980519.32813609,2021,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,46592,118254865.82750684,2021,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,382418,1116789010.6459613,2021,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,24437,81329281.0269996,2021,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,53115,156486112.28732437,2021,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,558571,1694794708.0093331,2021,4
andaman-&-nicobar-islands,district,nicobars,TOTAL,29177,94414127.64974087,2022,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,60059,161624878.52274162,2022,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,705512,1872991195.902684,2022,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,43769,132900618.93062323,2022,2
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,72573,195693167.78757268,2022,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,954875,2357326563.362071,2022,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,49550,131330400.94545084,2022,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,79574,211581970.34202653,2022,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,1455255,2967719400.8499093,2022,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,58646,142355853.97352523,2022,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,93297,241431284.35581037,2022,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,1835592,3600887266.099448,2022,4
andaman-&-nicobar-islands,district,nicobars,TOTAL,94127,202062829.0,2023,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,152187,392080332.0,2023,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,2030078,3867385426.0,2023,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,109568,230192364.0,2023,2
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,181149,462414675.0,2023,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,2417058,4297737197.0,2023,2
andaman-&-nicobar-islands,district,nicobars,TOTAL,128432,253772173.0,2023,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,198547,495623030.0,2023,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,2771397,4462201588.0,2023,3
andaman-&-nicobar-islands,district,nicobars,TOTAL,153587,311527871.0,2023,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,230234,540759631.0,2023,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,3311962,5417264997.0,2023,4
andaman-&-nicobar-islands,district,nicobars,TOTAL,166796,305346303.0,2024,1
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,266400,601756070.0,2024,1
andaman-&-nicobar-islands,district,south andaman,TOTAL,3751724,5952049462.0,2024,1
andaman-&-nicobar-islands,district,nicobars,TOTAL,186672,333687418.0,2024,2
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,313301,676844858.0,2024,2
andaman-&-nicobar-islands,district,south andaman,TOTAL,4153251,6285248054.0,2024,2
andaman-&-nicobar-islands,district,nicobar,TOTAL,210536,372462759.0,2024,3
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,364075,724234808.0,2024,3
andaman-&-nicobar-islands,district,south andaman,TOTAL,4704639,6567147442.0,2024,3
andaman-&-nicobar-islands,district,nicobar,TOTAL,232820,401676455.0,2024,4
andaman-&-nicobar-islands,district,north and middle andaman,TOTAL,411230,759100984.0,2024,4
andaman-&-nicobar-islands,district,south andaman,TOTAL,5419850,7760167334.0,2024,4
andhra-pradesh,district,anantapur,TOTAL,638664,788830646.0324218,2018,1
andhra-pradesh,district,chittoor,TOTAL,830324,1009621878.0870512,2018,1
andhra-pradesh,district,east godavari,TOTAL,943935,1235785515.599727,2018,1
andhra-pradesh,district,guntur,TOTAL,815932,1108686589.0266826,2018,1
andhra-pradesh,district,krishna,TOTAL,863935,1284255179.61562,2018,1
andhra-pradesh,district,kurnool,TOTAL,679623,764905298.7350456,2018,1
andhra-pradesh,district,prakasam,TOTAL,534757,748990775.8676486,2018,1
andhra-pradesh,district,spsr nellore,TOTAL,531612,676643237.8069417,2018,1
andhra-pradesh,district,visakhapatnam,TOTAL,1256469,1749966196.5049949,2018,1
andhra-pradesh,district,west godavari,TOTAL,577090,853547668.7532666,2018,1
andhra-pradesh,district,anantapur,TOTAL,937023,1690366079.0557928,2018,2
andhra-pradesh,district,chittoor,TOTAL,1185723,1990419125.893712,2018,2
andhra-pradesh,district,east godavari,TOTAL,1221677,2168914928.4239016,2018,2
andhra-pradesh,district,guntur,TOTAL,1088101,2108475811.785997,2018,2
andhra-pradesh,district,krishna,TOTAL,1224987,2448141593.4919834,2018,2
andhra-pradesh,district,kurnool,TOTAL,968439,1531888665.6843233,2018,2
andhra-pradesh,district,prakasam,TOTAL,739991,1571167562.1276274,2018,2
andhra-pradesh,district,spsr nellore,TOTAL,780454,1542057934.0108962,2018,2
andhra-pradesh,district,visakhapatnam,TOTAL,1641192,2987853607.293909,2018,2
andhra-pradesh,district,west godavari,TOTAL,786033,1688025212.3045945,2018,2
andhra-pradesh,district,anantapur,TOTAL,1815215,2681787750.464165,2018,3
andhra-pradesh,district,chittoor,TOTAL,2297429,3283517630.720593,2018,3
andhra-pradesh,district,east godavari,TOTAL,3226907,3551247095.3074465,2018,3
andhra-pradesh,district,guntur,TOTAL,1912529,3127764663.180438,2018,3
andhra-pradesh,district,krishna,TOTAL,2396934,3754202654.384461,2018,3
andhra-pradesh,district,kurnool,TOTAL,2921189,2908389261.539773,2018,3
andhra-pradesh,district,prakasam,TOTAL,1319651,2346453445.4838424,2018,3
